INDICE DE USOS - AREA DE TRATAMIENTO NORMATIVO I
Zonas: RDM, RDA, VT, CV, CZ, CM, I-1, I-2, I-3, I-4
P=Permitido, H=Compatible/Habilitado

C 10 1 0 02 | PRODUCCION DE BRIQUETAS U OTROS COMBUSTIBLES SOLIDOS | VT=H I-1=P I-2=P I-3=P
D 15 1 1 02 | EXTRAC.Y REFIN. MANTECA CERDO Y OTRAS GRASAS COMESTIBLES DE  | I-2=P I-3=P I-4=P
D 15 1 1 03 | DESECACION, AHUMADO, SALADURA Y ENLATADO DE CARNE | I-2=P I-3=P
D 15 1 1 04 | PREPARACION Y CONSERVACION DE TODO TIPO DE CARNE | I-1=P I-2=P I-3=P
D 15 1 1 05 | PRODUC.CARNES,INCLUSO CARNE DE AVES CORRAL, FRESCAS REFRIGER | I-1=P I-2=P I-3=P
D 15 1 1 06 | FABRICA DE EMBUTIDOS | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 1 1 07 | FABRICA DE HARINAS, SEMOLAS DE CARNE, DESPOJO DE CARNE | I-2=P I-3=P
D 15 1 1 08 | FABRICA DE CUEROS, PIELES SIN CURTIR, OTROS SUBPRODUCTOS | I-2=P I-3=P
D 15 1 2 01 | CONSERVACION DE CRUSTACEOS Y MOLUSCOS: CONGELAC., SECACION,  | I-2=P I-3=P I-4=P
D 15 1 2 02 | DESECACION, AHUMADO, SALADURA PESCADO | I-2=P I-3=P I-4=P
D 15 1 2 03 | PRODUCCION DE FILETES Y HUEVAS DE PESCADO | I-2=P I-3=P
D 15 1 2 05 | PRODUCCION DE PESCADO COCIDO | I-3=P I-4=P
D 15 1 2 06 | PRODUCCION PESCADO FERMENTADO,PASTA | I-2=P I-3=P I-4=P
D 15 1 2 07 | PRODUCCION PESCADO CONGELADO | I-2=P I-3=P I-4=P
D 15 1 2 08 | PRODUCCION DE HARINAS Y SUSTANCIAS SOLUBLES DE PESCADO, CRUS | I-2=P I-3=P I-4=P
D 15 1 3 01 | CONSERVACION DE FRUTAS, HORTALIZAS Y LEGUMBRES (ENVASE RECIP | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 1 3 02 | CONSERVACION MEDIANTE CONGELACION DE FRUTAS, LEGUMBRES Y HOR | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 1 3 03 | FABRICA DE CONSERVAS DE FRUTAS, LEGUMBRES Y HORTALIZAS | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 1 3 04 | FABRICA DE COMPOTAS, MERMELADAS Y JALEAS | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 1 3 05 | FABRICA DE HARINA Y SEMOLA DE PAPAS | I-1=P I-2=P I-3=P
D 15 1 3 06 | FABRICA DE SEMOLAS PREPARADAS DE LEGUMBRES Y HORTALIZAS | I-1=P I-2=P I-3=P
D 15 1 3 07 | PREPARACION Y CONSERVACION DE JUGOS FRUTAS Y HORTALIZAS | RDM=H RDA=H VT=P CV=H CZ=P CM=P I-1=P I-2=P I-3=P
D 15 1 3 08 | PROCESADORAS DE PAPAS | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 1 4 01 | FABRICA DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL | I-2=P I-3=P I-4=P
D 15 1 4 02 | FABRICA DE TORTAS, SEMOLAS Y OTROS PRODUCTOS RESIDUALES DE L | I-2=P I-3=P
D 15 1 4 03 | FABRICA DE ACEITE DE SEMILLA DE ALGODON | I-2=P I-3=P
D 15 1 4 04 | FABRICA DE ACEITES COMPUESTO (PARCIALMENTE HIDROGENADO) | I-3=P I-4=P
D 15 1 4 05 | FABRICA DE ACEITES VEGETALES | I-2=P I-3=P
D 15 1 4 06 | PRODUC. DE HARINA, SEMOLA SIN DESGRAS.DE SEMILLAS NUECES Y A | I-2=P I-3=P
D 15 1 4 07 | FABRICA DE MARGARINAS Y OTROS ACEITES DE MESA | I-2=P I-3=P
D 15 1 4 09 | SETACEITES PARA CURTIEMBRES | I-2=P I-3=P
D 15 1 5 01 | EXTRACCION DE ACEITE DE HIGADO DE PESCADO | I-4=P
D 15 2 0 01 | ELABORACION DE LECHE: CLASIFICACION, FILTRACION Y REFRIGERAC | I-1=P I-2=P I-3=P
D 15 2 0 02 | FABRICA DE CASEINA Y LACTOSA | I-1=P I-2=P I-3=P
D 15 2 0 03 | FABRICA DE HELADOS | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 2 0 04 | FABRICA DE MANTEQUILLA DE LECHE DE BUFALA | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 2 0 05 | FABRICA DE MANTEQUILLA NATURAL Y MANTEQUILLA DESECADA | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 2 0 06 | FABRICA DE QUESO Y CUAJADA | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 2 0 07 | TRATAMIENTO DE LA LECHE PASTEURIZADA, MATERNIZACION DE LA LE | I-1=P I-2=P I-3=P
D 15 3 1 01 | ELABOR. DE HARINA PREPARADA PARA LA FABRIC. DE PAN, PASTELES | I-1=P I-2=P I-3=P
D 15 3 1 02 | MOLINOS DE CEREALES: EJM. TRIGO, AVENA, MAIZ | I-1=P I-2=P I-3=P
D 15 3 1 03 | ELABORACION DE PRODUCTOS DE MOLINERIA, SEMOLINA, SEMOLA | I-1=P I-2=P I-3=P
D 15 3 1 04 | FABRICA DE HARINA DE ARROZ | I-1=P I-2=P I-3=P
D 15 3 1 05 | MOLINOS DE ARROZ: DESCASCARRILLADO, BLANQUEADO, CONVERTIDO,  | I-1=P I-2=P I-3=P
D 15 3 1 06 | MOLINOS DE LEGUMBRES | I-1=P I-2=P I-3=P
D 15 3 1 07 | ELAB. DE ALIMENT. PARA EL DESAYUNO; TOSTADOS, INSUFLADOS; ET | VT=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 3 2 01 | FABRICA DE ALMIDONES | VT=H I-1=P I-2=P I-3=P
15 3 2 02 | FABRICA DE GLUCOSA Y MALTOSA | I-1=P I-2=P I-3=P
D 15 3 2 04 | FABRICA DE TAPIOCA Y SUCEDANEOS DE LA TAPIOCA | I-1=P I-2=P I-3=P
